Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Methanopyrus kandleri AV19		strain: AV19	190192	ASM718v1	GCA_000007185.1	GenBank	Annotation submitted by Fidelity Systems	Complete Genome	1694969	1694969	2002-04-03	1729	PRJNA294	SAMN02603235
Pyrobaculum aerophilum str. IM2		strain: IM2	178306	ASM722v1	GCA_000007225.1	GenBank	Annotation submitted by UCLA/CalTech	Complete Genome	2222430	2222430	2002-01-24	2706	PRJNA172	SAMN02604075
Methanosarcina acetivorans C2A		strain: C2A	188937	ASM734v1	GCA_000007345.1	GenBank	Annotation submitted by Broad Institute	Complete Genome	5751492	5751492	2002-04-03	4662	PRJNA290	SAMN03081414
Picrophilus oshimae DSM 9789		strain: DSM 9790	1122961	ASM826v1	GCA_000008265.1	GenBank	Annotation submitted by Institut of Microbiology and Genetics, University of Goettingen	Complete Genome	1545895	1545895	2004-06-08	1535	PRJNA10641	SAMN02603345
Thermococcus kodakarensis KOD1		strain: KOD1	69014	ASM996v1	GCA_000009965.1	GenBank	Annotation submitted by Kyoto University, Japan	Complete Genome	2088737	2088737	2005-01-05	2306	PRJNA13213	SAMD00061071
Methanocella paludicola SANAE		strain: SANAE	304371	ASM1100v1	GCA_000011005.1	GenBank	Annotation submitted by NITE	Complete Genome	2957635	2957635	2009-12-25	3062	PRJDA20361	SAMD00060931
Haloarcula marismortui ATCC 43049		strain: ATCC 43049	272569	ASM1108v1	GCA_000011085.1	GenBank	Annotation submitted by Institute for Systems Biology	Complete Genome	3131724	4274642	2004-11-02	4301	PRJNA105	SAMN02603385
Pyrococcus horikoshii OT3		strain: OT3	70601	ASM1110v1	GCA_000011105.1	GenBank	Annotation submitted by NITE	Complete Genome	1738505	1738505	2004-05-11	2118	PRJNA207	SAMD00061090
Aeropyrum pernix K1		strain: K1	272557	ASM1112v1	GCA_000011125.1	GenBank	Annotation submitted by NITE	Complete Genome	1669696	1669696	2006-10-11	1752	PRJNA211	SAMD00061092
Sulfurisphaera tokodaii str. 7		strain: 7	273063	ASM1120v1	GCA_000011205.1	GenBank	Annotation submitted by NITE	Complete Genome	2694756	2694756	2004-05-11	2865	PRJNA246	SAMD00061096
Methanospirillum hungatei JF-1		strain: JF-1	323259	ASM1344v1	GCA_000013445.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	3544738	3544738	2006-02-17	3304	PRJNA13015	SAMN02598287
Methanococcoides burtonii DSM 6242		strain: DSM 6242	259564	ASM1372v1	GCA_000013725.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	2575032	2575032	2006-04-10	2500	PRJNA9634	SAMN02598545
Methanoculleus marisnigri JR1		strain: JR1	368407	ASM1582v1	GCA_000015825.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	2478101	2478101	2007-02-16	2555	PRJNA16330	SAMN02598365
Pyrobaculum arsenaticum DSM 13514		strain: DSM 13514	340102	ASM1638v1	GCA_000016385.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	2121076	2121076	2007-04-16	2407	PRJNA15582	SAMN02598330
Methanobrevibacter smithii ATCC 35061		strain: ATCC 35061; PS; DSMZ 861	420247	ASM1652v1	GCA_000016525.1	GenBank	Annotation submitted by Washington University Center for Genome Sciences	Complete Genome	1853160	1853160	2007-06-04	1837	PRJNA18653	SAMN02604313
Methanoregula boonei 6A8		strain: 6A8	456442	ASM1762v1	GCA_000017625.1	GenBank	Annotation submitted by US DOE Joint Genome Institute	Complete Genome	2542943	2542943	2007-07-26	2513	PRJNA18505	SAMN02598409
Ignicoccus hospitalis KIN4/I		strain: KIN4/I	453591	ASM1794v1	GCA_000017945.1	GenBank	Annotation submitted by US DOE Joint Genome Institute	Complete Genome	1297538	1297538	2007-08-29	1492	PRJNA13914	SAMN02598324
Thermococcus onnurineus NA1		strain: NA1	523850	ASM1836v1	GCA_000018365.1	GenBank	Annotation submitted by Korea Ocean Research & Development Institute	Complete Genome	1847607	1847607	2008-11-06	2027	PRJNA20773	SAMN02603476
Nitrosopumilus maritimus SCM1		strain: SCM1	436308	ASM1846v1	GCA_000018465.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	1645259	1645259	2007-11-15	1840	PRJNA19265	SAMN00000032
Methanosphaerula palustris E1-9c		strain: E1-9c	521011	ASM2196v1	GCA_000021965.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	2922917	2922917	2009-01-05	2866	PRJNA29381	SAMN00001866
Halorubrum lacusprofundi ATCC 49239		strain: ATCC 49239	416348	ASM2220v1	GCA_000022205.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	2735295	3692576	2009-02-04	3726	PRJNA412908	SAMN02598407
Thermococcus gammatolerans EJ3		strain: EJ3; DSM 15229	593117	ASM2236v1	GCA_000022365.1	GenBank	Annotation submitted by IGM/ Universit Paris-Sud, France	Complete Genome	2045438	2045438	2009-06-12	2211	PRJNA33671	SAMN02603333
Halorhabdus utahensis DSM 12940		strain: DSM 12940	519442	ASM2394v1	GCA_000023945.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	3116795	3116795	2009-08-27	3077	PRJNA29305	SAMN00002611
Halomicrobium mukohataei DSM 12286		strain: DSM 12286	485914	ASM2396v1	GCA_000023965.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	3110487	3332349	2009-09-03	3475	PRJNA27945	SAMN00002610
Methanobrevibacter ruminantium M1		strain: M1	634498	ASM2418v1	GCA_000024185.1	GenBank	Annotation submitted by Pastoral Greenhouse Gas Research Consortium	Complete Genome	2937203	2937203	2010-02-05	2283	PRJNA34681	SAMN02603710
Haloterrigena turkmenica DSM 5511		strain: DSM 5511	543526	ASM2532v1	GCA_000025325.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	3889038	5440782	2010-01-19	5351	PRJNA30411	SAMN02598471
Ferroglobus placidus DSM 10642		strain: DSM 10642	589924	ASM2550v1	GCA_000025505.1	GenBank	Annotation submitted by US DOE Joint Genome Institute	Complete Genome	2196266	2196266	2010-02-16	2622	PRJNA33635	SAMN02598503
Natrialba magadii ATCC 43099		strain: ATCC 43099	547559	ASM2562v1	GCA_000025625.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	3751858	4443643	2010-02-24	4354	PRJNA30691	SAMN02598473
Haloferax volcanii DS2		strain: DS2	309800	ASM2568v1	GCA_000025685.1	GenBank	Annotation submitted by TIGR	Complete Genome	2847757	4012900	2010-03-23	4157	PRJNA12524	SAMN02604027
Natronomonas pharaonis DSM 2160		strain: Gabara	348780	ASM2604v1	GCA_000026045.1	GenBank	Annotation submitted by Max Planck Institute	Complete Genome	2595221	2749696	2005-09-28	3028	PRJNA15742	SAMEA3138222
Methanocella arvoryzae MRE50		strain: MRE50	351160	ASM6344v1	GCA_000063445.1	GenBank	Annotation submitted by Max Planck Institute	Complete Genome	3179916	3179916	2006-10-12	3124	PRJNA19641	SAMEA3138262
Methanocaldococcus jannaschii DSM 2661		strain: DSM 2661	243232	ASM9166v1	GCA_000091665.1	GenBank	Annotation submitted by TIGR	Complete Genome	1664970	1739927	1999-12-22	1821	PRJNA102	SAMN02603984
Thermosphaera aggregans DSM 11486		strain: DSM 11486	633148	ASM9218v1	GCA_000092185.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	1316595	1316595	2010-05-17	1457	PRJNA36571	SAMN02598509
Methanothermobacter marburgensis str. Marburg		strain: Marburg	79929	ASM14529v1	GCA_000145295.1	GenBank	Annotation submitted by Georg-August-University Goettingen	Complete Genome	1634695	1639135	2010-08-11	1806	PRJNA40103	SAMN02603260
Methanolacinia petrolearia DSM 11571		strain: DSM 11571	679926	ASM14787v1	GCA_000147875.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	2843290	2843290	2010-09-17	2881	PRJNA40773	SAMN00017400
Vulcanisaeta distributa DSM 14429		strain: DSM 14429	572478	ASM14838v1	GCA_000148385.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	2374137	2374137	2010-09-22	2593	PRJNA32589	SAMN00017002
Thermococcus barophilus MP		strain: MP	391623	ASM15110v2	GCA_000151105.2	GenBank	Annotation submitted by Moore Foundation	Complete Genome	2010078	2064237	2010-12-17	2315	PRJNA19379	SAMN02603625
Halogeometricum borinquense DSM 11551		strain: PR 3	469382	ASM17299v2	GCA_000172995.2	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	2820544	3944467	2010-11-22	3993	PRJNA20743	SAMN00002580
Desulfurococcus mucosus DSM 2162		strain: DSM 2162	765177	ASM18636v1	GCA_000186365.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	1314639	1314639	2011-01-20	1421	PRJNA48641	SAMN00103627
Vulcanisaeta moutnovskia 768-28		strain: 768-28	985053	ASM19031v1	GCA_000190315.1	GenBank	Annotation submitted by Centre Bioengineering RAS	Complete Genome	2298983	2298983	2011-02-22	2393	PRJNA63027	SAMN02603092
Thermoplasma acidophilum DSM 1728		strain: DSM1728	273075	ASM19591v1	GCA_000195915.1	GenBank	Annotation submitted by Max-Plank-Institute	Complete Genome	1564906	1564906	2003-05-06	1478	PRJNA110	SAMEA3138325
